	MODEL	V295	V300	V305	S295	S300	S305	I295	I300	I305
0	CAM5-GCM	0.006216439189325664	0.009873495965427293	0.009625108015579078	0.7097578551810994	0.7408313119691129	0.7377004694584893	0.44320757064163	0.5528350590415547	0.5703087373095957
1	CAM6-GCM	0.004994809484616163	0.005936337604610578	0.012738067008032837	0.6970731837676767	0.7753453607780083	0.7593171318243027	0.450044767207595	0.4836287055321419	0.5655653571195551
2	CM1	0.04996329973745419	0.04549991618635062	0.04650566578643182	0.6696666666666665	0.7168333333333333	0.7273333333333334	0.7524911492011483	0.7615396092956378	0.7192286970292482
3	CNRM-CM6	0.032714129232813964	0.045292633634584814	0.05645480264635611	0.7614600153503487	0.8162845828432964	0.7558990433274002	0.5089302279640211	0.5476892712516005	0.5586597575491669
4	DAM	0.03201142052390408	0.027110713030790202	0.014568584569933258				0.7321527823467782	0.7508791215033764	0.7691372809685132
5	ECHAM6-GCM	0.003630796917185364	0.007396608052278406	0.02014554448576425	0.6190333759936423	0.6816871644466699	0.7350758873536959	0.6441282571552849	0.5973474219464926	0.6124631297023337
6	FV3	0.017329639394677455	0.02323176489482003	0.027130399139658097						
7	GEOS-GCM	0.004605913909429492	0.006367056129338202	0.01899095784044928	0.6877170428957818	0.6981938397473831	0.8456808825910642	0.3546404513625374	0.4271363030077045	0.6218996143272232
8	ICON-GCM				0.7527108492179668	0.7932307516625955	0.7592227688402542	0.449278881645125	0.5107659980946765	0.5805756956440055
9	ICON-LEM-CRM	0.033244722605784344	0.01802967743265747	0.008396047637751787	0.6931666666666666	0.659	0.5925	0.6984681551891142	0.6834353772453443	0.6662490736555736
10	ICON-NWP-CRM	0.0233288049289255	0.017474033589233384	0.018058477013084055	0.6970000000000001	0.6216666666666667	0.6018333333333333	0.7175550009837087	0.6412167317844961	0.6476717856474734
11	IPSL-CM6	0.02016851322406584	0.02678185164864756	0.029200602802741636	0.9146732687950134	0.9166186451911926	0.9123730659484863	0.4529144180936679	0.5980659087818496	0.6042835093806935
12	MESONH	0.05161959315960606	0.044933941637476285	0.0323702379843841	0.7660000000000001	0.7713333333333332	0.6101666666666667	0.859278725921911	0.8637196135152694	0.8619157741427288
13	MPAS	0.0198237666208297	0.02287570994576678	0.0130326625953118	0.6191710829734802	0.5781124830245972	0.5413545370101929	0.6515244707629012	0.6986672716026983	0.5741282006428144
14	NICAM	0.04996329973745419	0.04549991618635062	0.04650566578643182	0.7677002215385437	0.7796414732933045	0.7898438715934754	0.700115445387044	0.7431162559746258	0.7443117621036457
15	SAM0-UNICON	0.009357502944372395	0.016112450461988614	0.014956280268172403	0.7723476229101722	0.8294144674481327	0.8595516991897642	0.5127154389393677	0.5822764979415329	0.5407545641683827
16	SAM-CRM	0.0349358171907564	0.03392995274936159	0.03721257670782507	0.6976666666666667	0.7483333333333333	0.7048333333333333	0.8757854325147286	0.9057022994951368	0.9096156736456424
17	SAM-GCRM	0.041994174278030795	0.04904305579140782	0.04441685856630405	0.7240854501724243	0.7703116536140442	0.714270830154419	0.8553508191059295	0.8901762405745456	0.9062189025336139
18	SCALE	0.007775873684634765	0.0074500135200408595	0.00610520039879096	0.6116666666666667	0.6363333333333333	0.6591666666666667	0.6889655292046122	0.6855402591514452	0.6574854364765205
19	SP-CAM	0.016936827456366602	0.02106514711271592	0.025062077471725817	0.750683923205268	0.7709274329621918	0.7775477161659526	0.5958050943623092	0.5886112197171021	0.5546253026948977
20	SPX-CAM	0.02847723457871414	0.035758524708889	0.02382425668244948	0.7735421545917427	0.8121056819530635	0.8163081028971922	0.5231040054856532	0.5285473422529774	0.524848621669544
21	UCLA-CRM	0.025482681483651203	0.03499423861565586	0.03639930042867454	0.7929999999999999	0.7441666666666665	0.6898333333333333	0.8990842397054094	0.8892674455775781	0.8979177333108642
22	UKMO-GA7.1	0.01987939898880696	0.025495815061258267	0.024577111374219234	0.7615589499473572	0.7880280017852783	0.7775153517723083	0.5485433019602096	0.6114761725414217	0.6538708296061305
23	UKMO-CASIM	0.010573262424391305	0.010357270007316247	0.000997627379547339	0.6602564102564102	0.6268162393162393	0.5228632478632479	0.5834490804977759	0.5809381523307812	0.4841824591846164
24	UKMO-RA1-T	0.03462479863928743	0.029885995637577694	0.032018047361435674	0.656837606837607	0.7303418803418803	0.765491452991453	0.620523266870204	0.6966405930533808	0.7248907702308788
25	UKMO-RA1-T-nocloud	0.028809620584878657	0.03823197804964506	0.03037016741477717	0.643482905982906	0.6825854700854702	0.7476495726495725	0.6038668609028416	0.6570644413820302	0.6782475659794577
26	WRF-COL-CRM	0.013982237685841146	0.00753651364698546	0.005369709514042304	0.6918333333333334	0.6743333333333333	0.654	0.661264209411223	0.6889708108288777	0.6884972467710271
27	WRF-CRM	0.007339914600533772	0.00142529238813081	0.007155603846184872	0.6993333333333333	0.5168333333333333	0.5359999999999999	0.6461108868015238	0.4700015174722306	0.5211701027262892
28	WRF-GCM-cps0	0.0372383281091849	0.039264518786221746	0.03861506921549638	0.579	0.5938333333333332	0.5591666666666666	0.39539540711241383	0.3557573636872103	0.32298772409730236
29	WRF-GCM-cps1	0.04491904632498821	0.041523039831469453	0.04093021404619018	0.5506666666666666	0.5503333333333333	0.5418333333333333	0.32267914898153627	0.34750982785354806	0.27365886554701113
30	WRF-GCM-cps2	0.03644422098062933	0.04957574022312959	0.05029762761667371	0.5535	0.5538333333333333	0.49099999999999994	0.4139352533296805	0.41468934835593224	0.40642371992264525
31	WRF-GCM-cps3	0.04004052409902215	0.036921258696044484	0.03800494932569563	0.5776666666666667	0.5526666666666666	0.5581666666666667	0.37192867240538835	0.3651264028762955	0.35143141203979295
32	WRF-GCM-cps4	0.035886186314746736	0.0301886646853139	0.05856767155230045	0.44616666666666666	0.44516666666666665	0.4703333333333334	0.4280952389042011	0.4070255964816122	0.3766959272407499
33	WRF-GCM-cps6	0.03041408642816047	0.03790255905439456	0.04024753228450815	0.5201666666666667	0.5876666666666667	0.5651666666666667	0.3919819099481211	0.3280006760142619	0.2709799112381956
